product_code,name,brand,category,status,price_note,availability_note,datasheet_url,technical_notes,image_url,sort_order,stock_status,stock_quantity,low_stock_threshold,inventory_notes,last_stock_checked_at
old-leviton-fiber-cord-om3-lc-sc-dplx-3-meter-5ldcl-m03,Leviton FIBER CORD OM3 LC-SC DPLX 3 METER - 5LDCL-M03,Leviton,Patch Cords & Connectivity,active,EGP 450,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,61,unknown,,,,
old-leviton-pigtail-sc-50u-om3-3-mtr-5lpsc-m03,Leviton PIGTAIL SC 50U OM3 3 MTR - 5LPSC-M03,Leviton,Fiber Optic Systems,active,EGP 120,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,62,unknown,,,,
old-leviton-t5pls-12f-tray-spl-plast-011-t5pls-24f,LEVITON T5PLS-12F TRAY SPL PLAST - 011-T5PLS-24F,Leviton,Fiber Optic Systems,active,EGP 285,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,63,unknown,,,,
old-leviton-sdx-precision-molded-plate-aqua-50-125um-multimo,"Leviton SDX Precision Molded Plate (AQUA), 50/125um Multimode Laser Optimized OM",Leviton,Fiber Optic Systems,active,EGP 320,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,64,unknown,,,,
old-leviton-plate-blank-molded-opt-x-5f100-plt,Leviton PLATE BLANK MOLDED OPT-X - 5F100-PLT,Leviton,Faceplates / Keystone / RJ45,active,EGP 125,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,65,unknown,,,,
old-fiber-optical-cable-in-out-armored-12-core-om3-5llaz-122,Fiber Optical Cable IN/OUT ARMORED 12 CORE OM3 - 5LLAZ-122,Generic / Multi-brand,Fiber Optic Systems,active,EGP 90,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,66,unknown,,,,
old-conteg-pdu-8-outlet-19-inch-1u-rack-power-distribution-u,CONTEG PDU 8 Outlet 19 Inch 1U Rack Power Distribution Unit,CONTEG,Cabinets / Racks / PDU,active,"EGP 1,250",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,67,unknown,,,,
old-cornet-rj45-connector-box-100-pieces-professional-pack,CORNET RJ45 Connector Box 100 Pieces Professional Pack,CORNET,Faceplates / Keystone / RJ45,active,EGP 350,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,68,unknown,,,,
old-point-rj45-connector-box-100-pieces-professional-pack,POINT RJ45 Connector Box 100 Pieces Professional Pack,POINT,Faceplates / Keystone / RJ45,active,EGP 350,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,69,unknown,,,,
old-premium-line-euro-face-plate-1-port-white-shuttered-outl,PREMIUM LINE Euro Face Plate 1 Port White Shuttered Outlet,Premium Line,Faceplates / Keystone / RJ45,active,EGP 60,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,70,unknown,,,,
old-fumo-double-faceplate-white-professional-wall-outlet,FUMO Double Faceplate White Professional Wall Outlet,FUMO,Faceplates / Keystone / RJ45,active,EGP 60,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,71,unknown,,,,
old-excel-single-gang-faceplate-with-2-half-blanks-white,EXCEL Single Gang Faceplate with 2 Half Blanks White,Excel,Faceplates / Keystone / RJ45,active,EGP 60,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,72,unknown,,,,
old-leviton-surface-mount-back-box-single-gang-white,LEVITON Surface Mount Back Box Single Gang White,Leviton,Faceplates / Keystone / RJ45,active,EGP 100,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,73,unknown,,,,
old-excel-cat6-utp-keystone-jack-idc-white-professional-outl,EXCEL Cat6 UTP Keystone Jack IDC White Professional Outlet,Excel,Faceplates / Keystone / RJ45,active,EGP 80,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,74,unknown,,,,
old-panduit-tx6a-shielded-field-terminable-plug-industrial-g,PANDUIT TX6A Shielded Field Terminable Plug Industrial Grade,Panduit,Faceplates / Keystone / RJ45,active,EGP 290,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,75,unknown,,,,
old-prolink-cat6a-rj45-mptl-stp-plug-professional-connector,PROLINK CAT6A RJ45 MPTL STP Plug Professional Connector,PROLINK,Faceplates / Keystone / RJ45,active,EGP 125,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,76,unknown,,,,
old-local-rj11-telephone-patch-cord-reliable-voice-connectiv,LOCAL RJ11 Telephone Patch Cord Reliable Voice Connectivity,Local,Copper / CAT6 Cabling,active,EGP 15,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,77,unknown,,,,
old-blackstone-utp-cat6-black-stone-3meter-professional-netw,BLACKSTONE UTP CAT6 BLACK STONE 3METER Professional Networking Solution,BLACKSTONE,Copper / CAT6 Cabling,active,EGP 100,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,78,unknown,,,,
old-leviton-cat-6-utp-patch-cord-3m-gray-professional-networ,LEVITON Cat 6 UTP Patch Cord 3M Gray Professional Network Cable,Leviton,Copper / CAT6 Cabling,active,EGP 300,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,79,unknown,,,,
old-dema-prolink-cat6a-patch-cord-3m-lszh-gray-high-performa,DEMA PROLINK CAT6A Patch Cord 3M LSZH Gray High Performance,DEMA PROLINK,Copper / CAT6 Cabling,active,EGP 100,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,80,unknown,,,,
old-panduit-category-6-utp-patch-cord-1m-professional-connec,PANDUIT Category 6 UTP Patch Cord 1M Professional Connectivity,Panduit,Copper / CAT6 Cabling,active,EGP 160,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,81,unknown,,,,
old-leviton-optic-fiber-cable,LEVITON OPTIC FIBER CABLE,Leviton,Fiber Optic Systems,active,EGP 90,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,82,unknown,,,,
